name	revision	revision_short	sha256	compressed_bytes	uncompressed_bytes	object_key
verified-compiler	6940e67e5ec2d846310a927c2211d2b94f69162c	6940e67e5ec2	f79ab5e820a5632f6fcc804d25f4c65bdc5e1aa213d62934b47be6ac6461b180	563580	2078720	lean/closures/verified-compiler-6940e67e5ec2.tar.zst
LNSym	5c05220ff970e3bdd7813ad0c9ef3741522c8b92	5c05220ff970	d5a2fd5f25081bd9a74d83c646161b4dd6df50c0ca0693fd8a37a1656e3312db	624876702	858675200	lean/closures/LNSym-5c05220ff970.tar.zst
capless-lean	9beeba12d520c447791349f079256254fc413f1b	9beeba12d520	134535471a37c741a3f7375c7ef76d8c4189610dce12c58b5e9d31f49341a948	757643154	1573457920	lean/closures/capless-lean-9beeba12d520.tar.zst
FVIntmax	d7c4cbc5ec449471952ac5468f3b55bf61f5868e	d7c4cbc5ec44	80844d4bd0197f951013429db04b9bc9fe4935c0f9b8d87ab5c46e39596d1f54	1751403586	5312911360	lean/closures/FVIntmax-d7c4cbc5ec44.tar.zst
ArkLib	5a83bfb4383503d70d7b5a05355d396855b3151b	5a83bfb43835	22382cd1ba80adc9cdfdfd1285e2a19d92f9802a8425b644132bc05d313da411	2742286158	9475420160	lean/closures/ArkLib-5a83bfb43835.tar.zst
