name	language	url	revision	path	toolchain
loom	lean	https://github.com/verse-lab/loom	78928abc9054b31d0bea85985496490baae95244	data/lean/loom	leanprover/lean4:v4.24.0
nickelean	lean	https://github.com/lexicone42/nickelean	9938f56b642143ad18af83b8851a7a1b04f50a91	data/lean/nickelean	leanprover/lean4:v4.29.0-rc6
proven-zk	lean	https://github.com/reilabs/proven-zk	fd156e1a0a0771271b7871972f428b0c93b5b56e	data/lean/proven-zk	leanprover/lean4:v4.29.1
ryu-lean4	lean	https://github.com/lexicone42/ryu-lean4	5dd60fd7a0f08822a6efa0f97e585ce8efa270d4	data/lean/ryu-lean4	leanprover/lean4:v4.29.0-rc4
shortest-decimal	lean	https://github.com/lexicone42/shortest-decimal	4d5ea2d583f5fae86413317b4b01ebc4c4c91e4b	data/lean/shortest-decimal	leanprover/lean4:v4.29.0-rc6
sparkle	lean	https://github.com/Verilean/sparkle	73bbc74ac3244ea44b7846c212dbfd42786eff27	data/lean/sparkle	leanprover/lean4:v4.28.0
splean	lean	https://github.com/verse-lab/splean	e24286f51bd9ee207197d47ec587d592cdfb0ddc	data/lean/splean	leanprover/lean4:v4.11.0
starkware-formal-proofs	lean	https://github.com/starkware-libs/formal-proofs	d0dd8279612a248cbc6bf6d286030bf0bb2a37ff	data/lean/starkware-formal-proofs	leanprover/lean4:v4.13.0-rc3
veil	lean	https://github.com/verse-lab/veil	6a12daa8d3e0e8a9808a40ecab17ca030b557063	data/lean/veil	leanprover/lean4:v4.24.0
verified-compiler	lean	https://github.com/marcusrossel/verified-compiler	6940e67e5ec2d846310a927c2211d2b94f69162c	data/lean/verified-compiler	leanprover/lean4:v4.29.0
verity	lean	https://github.com/lfglabs-dev/verity	eeb7a3abe85dd88cc8ee2ece5a77da9b2aba2978	data/lean/verity	leanprover/lean4:v4.22.0
wadray_verification	lean	https://github.com/lindy-labs/wadray_verification	2e0d2e5d2397fd3cdfd1ff289674e915d5ed5905	data/lean/wadray_verification	leanprover/lean4:v4.9.0-rc2
yul-semantics	lean	https://github.com/powdr-labs/yul-semantics	f4e6187d684c0ebaee751750c5c368a4226abb73	data/lean/yul-semantics	leanprover/lean4:v4.31.0
